Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
30 Jun 26,25000.00,100200300,,TRANSFER CREDIT,SOC-10000000001CT.1abc23CT.1abc23 SocietyOne,4913.07,Transfers in,,30 Jun 26
30 Jun 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE H4756108521,-20086.93,Transfers out,,30 Jun 26
30 Jun 26,-24800.00,100200300,,EFTPOS DEBIT,EFTPOS 30/06 17:25ECOM CAPITAL PTY LTD,-19886.93,Uncategorised,,30 Jun 26
29 Jun 26,41.45,100200300,,INTER-BANK CREDIT,DV BBE462 5550001X VTA BENEFITS JORDAN LEE,4913.07,Government payments,Department of Veterans' Affairs,29 Jun 26
29 Jun 26,662.40,100200300,,INTER-BANK CREDIT,MC BBS878 5550001X MCARE BENEFITS JORDAN LEE,4871.62,Refund,Medicare,29 Jun 26
26 Jun 26,430.35,100200300,,INTER-BANK CREDIT,MC BBS370 5550001X MCARE BENEFITS JORDAN LEE,4209.22,Refund,Medicare,26 Jun 26
25 Jun 26,82.70,100200300,,INTER-BANK CREDIT,DV BBE553 5550001X VTA BENEFITS JORDAN LEE,3778.87,Government payments,Department of Veterans' Affairs,25 Jun 26
25 Jun 26,562.35,100200300,,INTER-BANK CREDIT,MC BBS470 5550001X MCARE BENEFITS JORDAN LEE,3696.17,Refund,Medicare,25 Jun 26
24 Jun 26,659.00,100200300,,INTER-BANK CREDIT,MC BBS927 5550001X MCARE BENEFITS JORDAN LEE,3133.82,Refund,Medicare,24 Jun 26
23 Jun 26,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE A8654202656,2474.82,Transfers out,,23 Jun 26
23 Jun 26,824.15,100200300,,INTER-BANK CREDIT,MC BBS390 5550001X MCARE BENEFITS JORDAN LEE,2874.82,Refund,Medicare,23 Jun 26
22 Jun 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE K3412561876,2050.67,Transfers out,,22 Jun 26
22 Jun 26,41.45,100200300,,INTER-BANK CREDIT,DV BBE199 5550001X VTA BENEFITS JORDAN LEE,2350.67,Government payments,Department of Veterans' Affairs,22 Jun 26
22 Jun 26,430.05,100200300,,INTER-BANK CREDIT,MC BBS335 5550001X MCARE BENEFITS JORDAN LEE,2309.22,Refund,Medicare,22 Jun 26
19 Jun 26,794.25,100200300,,INTER-BANK CREDIT,MC BBS378 5550001X MCARE BENEFITS JORDAN LEE,1879.17,Refund,Medicare,19 Jun 26
18 Jun 26,-300.00,100200300,,TRANSFER DEBIT,ONLINE J1793685521 Linked Acc Trns LEE JL,1084.92,Internal transfers,,18 Jun 26
18 Jun 26,294.95,100200300,,INTER-BANK CREDIT,MC BBS660 5550001X MCARE BENEFITS JORDAN LEE,1384.92,Refund,Medicare,18 Jun 26
17 Jun 26,-600.00,100200300,,TRANSFER DEBIT,JORDAN LEE V9098496530,1089.97,Transfers out,,17 Jun 26
17 Jun 26,82.70,100200300,,INTER-BANK CREDIT,DV BBE755 5550001X VTA BENEFITS JORDAN LEE,1689.97,Government payments,Department of Veterans' Affairs,17 Jun 26
17 Jun 26,165.60,100200300,,INTER-BANK CREDIT,MC BBS535 5550001X MCARE BENEFITS JORDAN LEE,1607.27,Refund,Medicare,17 Jun 26
16 Jun 26,-1108.74,100200300,,TRANSFER DEBIT,ONLINE G0514934706 Linked Acc Trns LEE JL,1441.67,Internal transfers,,16 Jun 26
16 Jun 26,592.70,100200300,,INTER-BANK CREDIT,MC BBS551 5550001X MCARE BENEFITS JORDAN LEE,2550.41,Refund,Medicare,16 Jun 26
15 Jun 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE P4060919319,1957.71,Transfers out,,15 Jun 26
15 Jun 26,662.25,100200300,,INTER-BANK CREDIT,MC BBS916 5550001X MCARE BENEFITS JORDAN LEE,2257.71,Refund,Medicare,15 Jun 26
11 Jun 26,397.20,100200300,,INTER-BANK CREDIT,MC BBS623 5550001X MCARE BENEFITS JORDAN LEE,1595.46,Refund,Medicare,11 Jun 26
10 Jun 26,628.95,100200300,,INTER-BANK CREDIT,MC BBS545 5550001X MCARE BENEFITS JORDAN LEE,1198.26,Refund,Medicare,10 Jun 26
09 Jun 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE K1424860592,569.31,Transfers out,,09 Jun 26
08 Jun 26,-5000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET T9236586400,1069.31,Transfers out,,08 Jun 26
08 Jun 26,662.10,100200300,,INTER-BANK CREDIT,MC BBS261 5550001X MCARE BENEFITS JORDAN LEE,6069.31,Refund,Medicare,08 Jun 26
05 Jun 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE X4798867124,5407.21,Transfers out,,05 Jun 26
05 Jun 26,695.10,100200300,,INTER-BANK CREDIT,MC BBS465 5550001X MCARE BENEFITS JORDAN LEE,5907.21,Refund,Medicare,05 Jun 26
04 Jun 26,628.65,100200300,,INTER-BANK CREDIT,MC BBS503 5550001X MCARE BENEFITS JORDAN LEE,5212.11,Refund,Medicare,04 Jun 26
03 Jun 26,1425.05,100200300,,INTER-BANK CREDIT,MC BBS562 5550001X MCARE BENEFITS JORDAN LEE,4583.46,Refund,Medicare,03 Jun 26
02 Jun 26,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE D5107205976,3158.41,Transfers out,,02 Jun 26
01 Jun 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE M3397579344,4158.41,Transfers out,,01 Jun 26
01 Jun 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE E2798709700,4358.41,Transfers out,,01 Jun 26
01 Jun 26,500.00,100200300,,TRANSFER CREDIT,ONLINE E6070891191 Linked Acc Trns LEE JL,4858.41,Internal transfers,,01 Jun 26
01 Jun 26,1356.75,100200300,,INTER-BANK CREDIT,MC BBS420 5550001X MCARE BENEFITS JORDAN LEE,4358.41,Refund,Medicare,01 Jun 26
29 May 26,-130.00,100200300,,TRANSFER DEBIT,JORDAN LEE S6401225191,3001.66,Transfers out,,29 May 26
27 May 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE F4187116380,3131.66,Transfers out,,27 May 26
27 May 26,628.80,100200300,,INTER-BANK CREDIT,MC BBS362 5550001X MCARE BENEFITS JORDAN LEE,3631.66,Refund,Medicare,27 May 26
25 May 26,-1500.00,100200300,,TRANSFER DEBIT,JORDAN LEE L7845893239,3002.86,Transfers out,,25 May 26
