Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
30 Jun 26,1.00,400500600,,TRANSFER CREDIT,ONLINE C1828652469 Linked Acc Trns LEE JL,0.49,Internal transfers,,30 Jun 26
30 Jun 26,-0.61,400500600,,INTEREST CHARGED,INTEREST CHARGED,-0.51,Loans,,30 Jun 26
30 Jun 26,0.10,400500600,,INTEREST PAID,INTEREST,0.10,Interest,,30 Jun 26
16 Jun 26,1108.74,400500600,,TRANSFER CREDIT,ONLINE G0514934706 Linked Acc Trns LEE JL,0.00,Internal transfers,,16 Jun 26
15 Jun 26,-1150.79,400500600,,AUTOMATIC DRAWING,TPL18535 The Optical Supe Jordan Lee,-1108.74,Transfers out,,15 Jun 26
01 Jun 26,-500.00,400500600,,TRANSFER DEBIT,ONLINE E6070891191 Linked Acc Trns LEE JL,42.05,Internal transfers,,01 Jun 26
29 May 26,528.00,400500600,,INTER-BANK CREDIT,ATO60000000000I006 ATO Jordan Lee,542.05,Refund,,29 May 26
29 May 26,0.51,400500600,,INTEREST PAID,INTEREST,14.05,Interest,,29 May 26
18 May 26,0.00,400500600,,MISCELLANEOUS CREDIT,AS AT 15 MAY 2026 YOUR INTEREST RATE IS 1.65%,13.54,Fees,,18 May 26
15 May 26,600.00,400500600,,TRANSFER CREDIT,ONLINE Z8692942026 Linked Acc Trns LEE JL,13.54,Internal transfers,,15 May 26
15 May 26,-1376.65,400500600,,AUTOMATIC DRAWING,TPL78713 The Optical Supe Jordan Lee,-586.46,Transfers out,,15 May 26
13 May 26,0.00,400500600,,MISCELLANEOUS CREDIT,INTEREST RATE BROUGHT FORWARD IS 1.55%,790.19,Loans,,13 May 26
30 Apr 26,1.26,400500600,,INTEREST PAID,INTEREST,790.19,Interest,,30 Apr 26
15 Apr 26,-309.22,400500600,,AUTOMATIC DRAWING,TPL24683 The Optical Supe Jordan Lee,788.93,Transfers out,,15 Apr 26
07 Apr 26,-200.00,400500600,,TRANSFER DEBIT,ONLINE K0773172779 Linked Acc Trns LEE JL,1098.15,Internal transfers,,07 Apr 26
31 Mar 26,1.00,400500600,,INTEREST PAID,INTEREST,1298.15,Interest,,31 Mar 26
30 Mar 26,0.00,400500600,,MISCELLANEOUS CREDIT,AS AT 27 MAR 2026 YOUR INTEREST RATE IS 1.55%,1297.15,Fees,,30 Mar 26
19 Mar 26,1296.00,400500600,,INTER-BANK CREDIT,ATO60000000000I006 ATO Jordan Lee,1297.15,Refund,,19 Mar 26
16 Mar 26,-1417.16,400500600,,AUTOMATIC DRAWING,TPL75469 The Optical Supe Jordan Lee,1.15,Transfers out,,16 Mar 26
